correct_predictions,total_true,peptide_length
2,5,20
2,5,74
2,5,20
3,5,20
3,5,20
0,5,269
2,5,20
4,5,20
2,5,124
2,5,20
3,5,20
1,5,20
2,5,20
2,5,26
3,5,20
2,5,20
0,5,38
3,5,20
3,5,50
2,5,20
4,5,20
3,5,20
1,5,20
3,5,20
4,5,97
2,5,20
2,5,20
3,5,20
2,5,88
2,5,20
4,5,20
2,5,20
3,5,25
3,5,20
3,5,20
1,5,20
4,5,20
3,5,20
3,5,20
2,5,20
3,5,20
3,5,24
1,5,47
4,5,20
2,5,20
2,5,20
1,5,62
1,5,20
3,5,28
3,5,20
2,5,20
1,5,20
1,5,20
2,5,20
0,5,45
2,5,20
0,5,141
3,5,20
2,5,20
2,5,21
2,5,20
1,5,20
3,5,20
2,5,20
3,5,20
3,5,20
